1920	Zemřelí muži podle podrobného seznamu příčin smrti a věku												
MKN (1920)	Název	Celkem	0	1-4	5-9	10-14	15-19	20-29	30-39	40-59	60-79	80+	Nezjiš- těno
													
	CELKEM ZEMŘELÝCH MUŽŮ	86996	23247	3330	1859	1526	3173	5962	4806	14686	23577	4769	61
													
I	Nemoci epidemické a  endemické	4599	797	638	345	198	356	505	412	716	593	37	2
1a	Tyf střevní	281	3	4	10	27	66	55	46	59	11	-	-
1b	Paratyfy	10	-	1	1	2	-	1	1	3	1	-	-
2	Tyf skvrnitý	24	-	-	-	-	1	5	6	12	-	-	-
3	Tyf zvratný	1	-	-	-	-	-	1	-	-	-	-	-
5a	Malarie	48	-	-	-	-	-	15	13	20	-	-	-
5b	Malarická sešlost	2	-	-	-	-	-	1	1	-	-	-	-
6	Neštovice	225	63	62	45	8	10	5	9	16	7	-	-
7	Spalničky	328	164	123	33	7	-	-	-	1	-	-	-
8	Spála	32	4	11	8	5	1	3	-	-	-	-	-
9	Zajíkavý kašel	198	152	39	4	1	-	2	-	-	-	-	-
10	Záškrt	354	74	198	68	9	3	-	2	-	-	-	-
11a	Chřipka s plicními komplikacemi	918	54	31	23	20	96	198	144	179	166	7	-
11b	Chřipka bez komplikací plic	1429	173	94	59	50	113	160	151	297	312	18	2
13	Zánět příušnic	-	-	-	-	-	-	-	-	-	-	-	-
15	Choleroidní zánět střev	3	1	-	-	-	-	1	-	1	-	-	-
16	Úplavice	381	29	59	78	48	26	24	14	51	48	4	-
19	Spirochetosa ikterohaemor	-	-	-	-	-	-	-	-	-	-		
21	Růže	192	75	3	2	2	8	17	8	35	34	8	-
22	Prudký zánět předních rohů míšních	1	-	1	-	-	-	-	-	-	-	-	-
23	Lethargův zánět střev	157	2	8	12	19	32	16	15	39	14	-	-
24	Epidemické ztrnutí šíje	15	3	4	2	-	-	1	2	3	-	-	-
25	Ostatní nemoci epidemické	-	-	-	-	-	-	-	-	-	-		
													
II	Nemoci  infekční	13923	846	488	515	503	1473	2970	2038	3602	1448	35	5
26	Ozhřivka	1	-	-	-	-	-	-	-	1	-	-	-
27	Uhlák a sněť slezinná	3	-	-	-	-	-	-	-	-	3	-	-
28	Vzteklina	12	-	3	2	1	2	-	2	1	1	-	-
29	Ztrnutí ranné	256	111	15	21	27	18	12	11	29	12	-	-
30	Mykosy	5	-	-	-	-	-	1	-	4	-	-	-
31	Tuberkulosa ústrojí dýchacího	11353	332	289	262	297	1237	2722	1826	3140	1217	28	3
32	Tuberkulosa mozkových blan nebo centrálního systému nervového	531	88	105	111	56	46	40	39	40	6	-	-
33	Tuberkulosa střev neb pobřišnice 	269	14	23	23	15	31	44	32	64	23	-	-
34	Tuberkulosa obratlů	83	-	3	8	5	9	13	9	28	7	1	-
35	Tuberkulosa kloubů	64	1	2	5	8	9	8	2	13	15	1	-
36a	Tuberkulosa kůže nebo podkožního vaziva	74	26	9	9	5	8	7	5	4	1	-	-
36b	Tuberkulosa kostí	283	5	15	24	23	37	27	27	68	53	4	-
36c	Tuberkulosa lymfatického systému	25	6	1	-	2	1	2	1	11	1	-	-
36d	Tuberkulosa ústrojí urogenitálního	9	-	-	-	-	2	3	-	2	2	-	-
36	Tuberkulosa jiných orgánů	18	3	1	-	1	-	4	1	7	1	-	-
37a	Tuberkulosa prudká	93	7	6	20	14	21	25	-	-	-	-	-
37b	Tuberkulosa vleklá	21	-	-	-	-	-	3	6	12	-	-	-
37c	Tuberkulosa bez bližšího označení	53	-	-	2	-	-	6	17	18	10	-	-
38	Příjice	132	82	1	1	-	2	8	12	23	3	-	-
40	Kapavka	1	-	-	-	-	-	-	-	-	1	-	-
41	Otrava krve	633	169	15	27	49	50	45	47	137	91	1	2
42	Ostatní nemoci epidemické a infekční	4	2	-	-	-	-	-	1	-	1	-	-
													
RA		4717	31	6	12	7	22	32	118	1732	2652	103	2
KR		110	14	2	4	3	5	11	14	42	15	0	0
EN		822	202	131	26	17	26	37	42	148	189	3	1
DU		183	0	0	1	0	3	17	17	103	41	1	0
III	Celkové nemoci výše nejmenované	5819	250	141	42	31	57	95	193	2016	2885	106	3
43	Rakovina neb jiné zhoubné nádory dutiny ústní	117	-	-	-	-	-	2	-	36	74	5	-
44	Rakovina neb jiné zhoubné nádory žaludku, jater	3033	8	2	-	-	3	5	56	1152	1756	51	-
45	Rakovina neb jiné zhoubné nádory pobřišnice, střev neb konečníku	550	11	-	-	1	2	3	18	178	324	12	1
46	Rakovina neb jiné zhoubné nádory rodidel	x	x	x	x	x	x	x	x	x	x	x	x
47	Rakovina neb jiné zhoubné nádory prsu	x	x	x	x	x	x	x	x	x	x	x	x
48	Rakovina neb jiné zhoubné nádory kůže	71	-	-	-	-	-	-	3	20	42	6	-
49	Rakovina neb jiné zhoubné nádory orgánů ostatatních nebo blíže neurčených	861	5	4	6	5	9	15	32	311	446	27	1
50	Nádory, jež nejsou zhoubné, neb jichž zhoubná povaha není specifikována	23	2	-	1	-	1	2	1	9	5	2	-
51	Prudký horečnatý hostec kloubní	25	-	-	4	6	5	3	1	4	2	-	-
52	Vleklý hostec, dna	134	-	-	3	1	2	10	13	49	54	2	-
53	Kurděje	8	1	-	-	1	-	-	2	2	2	-	-
56	Křivice	332	182	130	16	3	-	-	-	-	-	-	1
57	Cukrovka	279	-	-	-	5	19	21	23	85	125	1	-
58a	Nedokrevnost zhoubná	96	12	1	3	2	3	8	13	39	15	-	-
58b	Jiné nedokrevnosti a blednička	9	2	1	1	-	2	1	-	2	-	-	-
59	Choroby hypophysy	1	-	-	-	-	-	-	-	1	-	-	-
60a	Basedowova nemoc	3	-	-	1	-	-	-	-	2	-	-	-
60b	Jiná onemocnění štítné žlázy	13	-	-	1	-	-	1	2	3	6	-	-
61	Nemoci žlázek přištítných	13	12	-	1	-	-	-	-	-	-	-	-
62	Nemoci brzlíku	9	7	1	-	1	-	-	-	-	-	-	-
63	Nemoci nadledvinek (nemoc Addisonova)	5	-	-	-	-	-	2	1	2	-	-	-
64	Nemoci sleziny	5	-	-	-	1	-	2	1	1	-	-	-
65	Bělokrevnost nebo  Hodgkinova nemoc	62	5	-	5	1	7	5	8	26	5	-	-
66	Alkoholismus	144	-	-	-	-	3	10	16	86	29	-	-
67	Vleklé otravy nerostnými látkami	2	-	-	-	-	-	-	1	1	-	-	-
68	Vleklé otravy ústrojnými látkami	1	-	-	-	-	-	-	-	1	-	-	-
69	Ostatní celkové nemoci	23	3	2	-	4	1	5	2	6	-	-	-
													
IV	Choroby systému nervového a smyslových orgánů	10027	4326	425	266	200	199	311	376	1556	2137	227	4
70	Zánět mozku	251	25	20	25	25	25	26	25	56	23	1	-
71	Zánět mozkových blan	1249	250	220	196	115	99	104	68	134	61	1	1
72	Úbytě míchy	186	-	-	-	-	4	4	13	105	57	3	-
73	Jiné choroby míchy	252	3	2	3	4	7	21	30	97	84	1	-
74a	Výlev krevní do mozku	2758	-	-	-	-	1	36	75	753	1681	211	1
74b	Záhať žil mozkových	44	1	-	-	-	2	5	3	15	17	1	-
75a	Jednostranná obrna těla	58	-	-	-	-	1	3	2	22	25	5	-
75b	Paralysis progressiva	137	-	-	-	-	1	3	22	81	30	-	-
75c	Jiné obrny	37	-	1	1	2	-	2	4	20	6	1	-
76	Ochrnutí spojené s duševní chorobou	1	-	-	-	-	-	-	-	1	-	-	-
77	Jiné duševní choroby	38	-	-	1	-	-	7	1	16	12	1	-
78	Padoucnice	224	6	5	8	22	31	53	29	52	18	-	-
79	Božec nepuerperální	18	-	-	10	1	-	1	3	2	1	-	-
80	Křeče u dětí	4177	4012	164	-	-	-	-	-	-	-	-	1
81	Posunčina	10	-	-	-	1	2	1	6	-	-	-	-
82b	Zánět nervů	14	-	-	-	-	1	1	-	8	4	-	-
83	Změknutí mozku	76	-	-	-	-	-	-	-	26	50	-	-
84	Ostatní choroby systému nervového	445	16	11	18	25	19	37	92	159	65	2	1
86	Choroby ucha nebo dutin mastoideu	52	13	2	4	5	6	7	3	9	3	-	-
													
V	Choroby oběhu krevního	7432	102	40	98	117	155	362	408	2086	3763	298	3
87	Zánět osrdce	43	2	-	3	3	6	4	1	11	11	2	-
88	Prudký zánět nitroblány nebo svalu srdečního	1081	1	7	13	18	16	36	54	284	604	47	1
89	Srdeční angina	17	1	-	1	-	-	-	1	7	5	2	-
90	Jiné nemoci srdce	4234	85	30	78	93	129	301	328	1420	1666	102	2
91a	Výduť	60	-	-	-	-	-	2	4	34	20	-	-
91b	Zkornatění a jiné choroby tepen	1860	-	-	-	-	-	4	5	299	1412	140	-
92	Záhať (nikoliv mozková)	34	-	-	-	2	3	8	6	8	7	-	-
93	Choroby žil	30	-	-	-	-	-	1	1	10	15	3	-
94	Choroby systému mízního	15	6	1	1	-	1	-	-	1	5	-	-
95	Ostatní choroby oběhu krevního	58	7	2	2	1	-	6	8	12	18	2	-
96	Ostatní choroby oběhu krevního	-	-	-	-	-	-	-	-	-	-	-	-
													
VI	Choroby ústrojí dýchacího	11609	3547	878	221	109	262	445	402	1748	3728	260	9
97	Choroby dutin nosního a jejich adnex	7	2	-	-	1	-	-	-	1	3	-	-
98	Choroby hrtanu	49	22	12	5	1	-	-	1	4	4	-	-
99a	Zánět průdušek prudký	351	268	21	5	3	1	5	2	13	30	3	-
99b	Zánět průdušek vleklý	158	21	10	3	-	1	1	4	19	95	4	-
99c	Zánět průdušek bez bližšího označení (pod 5 let)	1079	920	159	-	-	-	-	-	-	-	-	-
99d	Zánět průdušek bez bližšího označení (v 5 a více letech)	229	-	-	18	5	5	3	10	34	135	19	-
100	Lalůčkový zánět plic včetně zánětu průdušinek	1008	510	135	25	7	6	25	17	107	162	13	1
101a	Zánět plic lalokový	329	47	18	7	8	19	24	27	61	108	9	1
101b	Zánět plic bez bližšího označení	5558	1699	493	140	76	190	319	259	838	1419	120	5
102	Zánět pohrudnice	472	27	22	7	5	29	45	37	146	143	11	-
103	Překrvení nebo krvácení parenchymatosní plic	21	1	-	-	-	-	-	1	5	12	2	-
104	Sněť plicní	41	1	1	-	-	1	4	3	13	17	1	-
105	Záducha	363	-	-	-	-	-	1	5	78	271	8	-
106	Rozedma plic	1663	-	-	-	-	3	5	19	358	1216	62	-
107	Ostatní choroby ústrojí dýchacího	281	29	7	11	3	7	13	17	71	113	8	2
													
VII	Choroby ústrojí zažívacího	8525	5813	397	117	72	102	195	207	785	791	44	2
108b	Choroby ústní dutiny a jejich adnex	23	17	-	1	-	-	-	-	1	3	1	-
109	Choroby hltanu nebo mandlí	82	45	10	6	1	3	1	2	8	6	-	-
110	Choroby jícnu	13	1	2	1	-	-	-	1	4	4	-	-
111a	Vřed žaludeční	301	3	-	2	1	6	18	41	140	89	1	-
