1946	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku													
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- tìno
														
	CELKEM ZEMØELİCH MUÙ	55465	10244	1349	844	2263	2030	3315	5389	8130	10942	8916	2030	13
														
I	Nemoci nakalivé a cizopasné	8066	818	548	243	956	827	1029	1383	1216	810	229	6	1
1	Tyf bøišní	145	1	4	9	49	25	33	15	6	3	-	-	-
2	Paratyf	6	-	-	-	1	1	1	1	1	1	-	-	-
3	Mor	-	-	-	-	-	-	-	-	-	-	-	-	-
4	Cholera	-	-	-	-	-	-	-	-	-	-	-	-	-
5	Horeèka vlnivá	-	-	-	-	-	-	-	-	-	-	-	-	-
6	Epidemickı zánìt plen mozkovıch a míšních	21	8	2	3	5	-	-	1	1	1	-	-	-
7	Uhlák	-	-	-	-	-	-	-	-	-	-	-	-	-
8	Spála	35	5	13	11	3	-	1	-	2	-	-	-	-
9	Kašel zádušnı	208	176	31	1	-	-	-	-	-	-	-	-	-
10	Záškrt	505	122	280	61	22	11	3	2	3	-	1	-	-
11	Rùe	90	33	1	1	2	2	3	6	13	18	11	-	-
12	Ztrnutí (tetanus)	113	34	3	15	10	2	9	13	15	10	2	-	-
13	Tuberkulosa ústrojí dıchacího	5386	53	75	43	755	728	851	1130	981	627	141	1	1
14a	Tuberkulosa plen a ústøední soustavy nervové: plen mozkovıch	237	31	75	57	31	8	12	10	9	4	-	-	-
14b	Tuberkulosa plen a ústøední soustavy nervové: jinıch míst	-	-	-	-	-	-	-	-	-	-	-	-	-
15a	Tuberkulosa støev a pobøišnice: støev	20	1	1	-	6	2	3	3	2	2	-	-	-
15b	Tuberkulosa støev a pobøišnice: jinıch míst	31	-	1	4	12	2	5	4	3	-	-	-	-
16	Tuberkulosa páteøe	43	-	1	2	7	4	2	7	7	12	1	-	-
17	Tuberkulosa kostí a kloubù (vyjma páteøe)	81	2	1	5	7	7	4	13	11	19	12	-	-
18	Tuberkulosa kùe a podkoního vaziva	6	-	-	-	-	-	-	2	1	1	2	-	-
19	Tuberkulosa soustavy mízní	8	2	-	1	-	-	1	-	-	1	3	-	-
20	Tuberkulosa ústrojí moèového a pohlavního	18	-	-	-	1	2	4	5	4	2	-	-	-
21a	Addisonova nemoc tuberkulosního pùvodu	1	-	-	-	1	-	-	-	-	-	-	-	-
21b	Addisonova nemoc tuberkulosního pùvodu ostatních orgánù	8	-	-	-	-	-	3	2	2	1	-	-	-
22	Tuberkulosa miliární	71	9	11	7	15	4	7	5	8	5	-	-	-
24a	Otrava krve	163	95	5	1	5	4	7	13	13	12	8	-	-
24b	Snì plynová	1	-	-	-	-	-	-	-	1	-	-	-	-
25	Kapavka	3	1	-	-	-	1	-	1	-	-	-	-	-
26	Jiné nemoci zpùsobené mikroby (vyjma úplavici)	1	-	-	-	-	-	1	-	-	-	-	-	-
27	Úplavice	2	2	-	-	-	-	-	-	-	-	-	-	-
