1932	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku											
MKN (1929)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65 a více	Nezjiš- tìno
												
	CELKEM ZEMØELİCH MUÙ	72343	12063	2570	2145	3364	4092	4344	6627	10532	26605	1
												
I	Nemoci nakalivé a cizopasné	11243	777	934	1086	1348	1741	1594	1476	1329	958	-
1	Tyf bøišní	201	-	-	15	72	61	20	17	14	2	-
2	Paratyfy	5	2	1	1	-	-	-	1	-	-	-
3	Tyf skvrnitı	-	-	-	-	-	-	-	-	-	-	-
5	Horeèka vlnitá, maltská	-	-	-	-	-	-	-	-	-	-	-
6	Neštovice pravé	-	-	-	-	-	-	-	-	-	-	-
7	Spalnièky	160	59	79	19	2	1	-	-	-	-	-
8	Spála	179	9	86	69	9	3	-	1	1	1	-
9	Kašel zádušnı	219	147	69	3	-	-	-	-	-	-	-
10	Záškrt	972	24	322	617	6	2	1	-	-	-	-
11a	Chøipka neboli influenza s komplikacemi dıchadel	233	42	15	4	10	21	11	27	32	71	-
11b	Chøipka neboli influenza bez údaje takovıch komplikací	155	25	9	9	11	5	10	8	17	61	-
13a	Úplavice støevní amoebová	-	-	-	-	-	-	-	-	-	-	-
13b	Úplavice støevní bacilární	2	-	1	-	-	-	-	-	1	-	-
13c	Úplavice støevní nerozlišená nebo z jiné pøíèiny	7	-	2	2	1	-	-	2	-	-	-
15	Rùe	257	96	1	7	14	11	19	26	24	59	-
16	Prudkı zánìt šedé hmoty míšní a prudkı zánìt šedé hmoty mozkové	30	1	8	10	4	4	3	-	-	-	-
17	Zánìt mozku lethargickı neboli epidemickı	50	-	-	2	9	12	10	2	8	7	-
18	Epidemickı zánìt plen mozkovıch a míšních	24	2	3	3	8	3	2	1	2	-	-
19	Ozhøivka 	-	-	-	-	-	-	-	-	-	-	-
20	Uhlák	3	-	-	-	-	-	2	1	-	-	-
21	Vzteklina	3	-	1	1	1	-	-	-	-	-	-
22	Ztrnutí	157	46	7	30	6	14	14	15	16	9	-
23(4)	Tuberkulosa ústrojí dıchacího	7065	89	91	98	1056	1468	1365	1223	1070	605	-
24	Tuberkulosa plen a ústøední soustavy èivové	461	60	178	123	34	23	17	16	4	6	-
25	Tuberkulosa støev a pobøišnice	135	6	14	8	28	19	13	18	21	8	-
26	Tuberkulosa páteøe	89	1	4	9	7	8	7	22	17	14	-
27	Tuberkulosa kostí a kloubù	160	4	9	19	21	13	13	10	22	49	-
28	Tuberkulosa kùe a podkoního tuku	5	-	-	-	1	1	-	1	2	-	-
29	Tuberkulosa soustavy mízní	9	1	-	3	2	-	-	-	3	-	-
30	Tuberkulosa ústrojí pohlavního a moèového	34	-	1	-	4	6	9	5	3	6	-
31	Tuberkulosa jinıch míst	2	-	-	-	-	-	-	-	1	1	-
32	Tuberkulosa roztroušená	95	12	15	11	16	16	6	9	7	3	-
33	Malomocenství	-	-	-	-	-	-	-	-	-	-	-
34a	Pøíjice vrozená	70	60	4	2	4	-	-	-	-	-	-
34b	Pøíjice získaná	50	-	-	-	1	2	11	12	15	9	-
34c	Pøíjice nerozlišená	138	-	-	-	2	19	40	28	29	20	-
35	Kapavka a jiné nemoci pohlavní	1	1	-	-	-	-	-	-	-	-	-
												
36a	Hnisavá nákaza a otrava krve nikoli poporodní: otrava krve	244	86	13	21	16	24	16	24	19	25	-
36b	Hnisavá nákaza a otrava krve nikoli poporodní: rozklad krve	2	-	-	-	-	1	1	-	-	-	-
36c	Hnisavá nákaza a otrava krve nikoli poporodní: snì plynová	2	-	-	-	-	-	-	2	-	-	-
38a	Zimnice malarická	8	-	1	-	1	1	2	2	1	-	-
38b	Kachexie malarická	-	-	-	-	-	-	-	-	-	-	-
39	Jiné nemoci, zavinìné cizopasnımi prvoky	6	-	-	-	1	2	1	2	-	-	-
40	Ankylostomiasa	-	-	-	-	-	-	-	-	-	-	-
41a	Boubel mìchoilová jater	1	-	-	-	-	-	-	-	-	1	-
41b	Boubel mìchoilová jinıch míst	-	-	-	-	-	-	-	-	-	-	-
42	Jiné nemoci zavinìné èervy	-	-	-	-	-	-	-	-	-	-	-
43	Mykosy	5	-	-	-	1	1	1	1	-	1	-
44	Jiné nemoci nakalivé nebo cizopasníky pùsobené	4	4	-	-	-	-	-	-	-	-	-
												
II	Rakoviny a jiné nádory	7428	7	6	24	65	112	319	1062	2270	3563	-
45	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu	287	2	-	2	1	3	7	37	83	152	-
												
46a	Rakovina a jiné zhoubné nádory: poeráku	582	-	-	1	1	3	13	63	201	300	-
46b	Rakovina a jiné zhoubné nádory: aludku a dvanáctníku	3574	-	-	-	2	27	132	503	1147	1763	-
46c	Rakovina a jiné zhoubné nádory: koneèníku	415	1	-	-	2	5	9	46	132	220	-
46d	Rakovina a jiné zhoubné nádory: jater a luèovodù	540	-	-	-	3	2	25	70	159	281	-
46	Rakovina a jiné zhoubné nádory: slinivky bøišní	63	-	-	-	-	-	5	16	23	19	-
46f	Rakovina a jiné zhoubné nádory: pobøišnice	52	-	-	-	1	4	6	6	19	16	-
46g	Rakovina a jiné zhoubné nádory: jiné nádory roury zaívací a pobøišnice	400	-	-	2	4	7	21	58	116	192	-
47	Rakovina a jiné zhoubné nádory: ústrojí dıchacího	319	-	-	-	10	14	21	84	100	90	-
48	Rakovina a jiné zhoubné nádory: dìlohy	x	x	x	x	x	x	x	x	x	x	x
49	Rakovina a jiné zhoubné nádory: jinıch pohlavních ústrojù enskıch	x	x	x	x	x	x	x	x	x	x	x
50	Rakovina a jiné zhoubné nádory: prsù	3	-	-	-	-	-	-	-	1	2	-
51	Rakovina a jiné zhoubné nádory: pohlavních a moèovıch ústrojù muskıch	389	-	-	1	2	4	10	43	95	234	x
52	Rakovina a jiné zhoubné nádory: kùe	155	-	-	-	2	4	3	14	33	99	x
53	Rakovina a jiné zhoubné nádory: jinıch ústrojù neb ústrojù nerozlišenıch	352	1	1	4	19	16	32	59	96	124	x
												
54a	Nádory nezhoubné: pohlavních ústrojù enskıch	x	x	x	x	x	x	x	x	x	x	x
54b	Nádory nezhoubné: jinıch ústrojù	14	1	1	-	1	1	-	2	2	6	-
												
55a	Nádory, jich zhoubnı ráz není rozlišen: pohlavních ústrojù enskıch	x	x	-	-	-	-	-	-	-	-	-
55b	Nádory, jich zhoubnı ráz není rozlišen: jinıch ústrojù	283	2	4	14	17	22	35	61	63	65	-
												
III	Nemoci rheumatické, nemoci vıivové, nemoci endokrinních láz a jiné nemoci celkové	1024	136	44	44	42	57	68	115	206	312	-
56	Rheumatismus kloubní prudkı, horeènatı	57	-	3	20	11	7	5	3	3	5	-
57	Rheumatismus vleklı, osteoarthritis	100	-	-	2	3	4	3	9	23	56	-
58	Dna	5	-	-	-	-	-	-	-	-	5	-
59	Úplavice cukrová	603	1	2	15	19	33	53	82	169	229	-
	Kurdìje	-	-	-	-	-	-	-	-	-	-	-
60a	Dìtské kurdìje	-	-	-	-	-	-	-	-	-	-	-
60b	Kurdìje	1	-	-	1	-	-	-	-	-	-	-
62	Pellagra	-	-	-	-	-	-	-	-	-	-	-
63	Køivice	119	77	34	2	2	-	2	2	-	-	-
64	Mìknutí kostí	3	1	-	1	-	-	-	-	-	1	-
65	Nemoci podvìsku mozkového	3	-	-	-	-	1	1	1	-	-	-
												
66a	Nemoci lázy štítné a pøídavnıch lázek štítnıch: vole prosté	13	-	-	-	3	1	-	-	1	8	-
66b	Nemoci lázy štítné a pøídavnıch lázek štítnıch: vole exopthalmické	18	-	-	-	-	5	2	6	3	2	-
66c	Nemoci lázy štítné a pøídavnıch lázek štítnıch: myxoedem a kretismus	4	-	-	1	1	1	-	-	1	-	-
66d	Nemoci lázy štítné a pøídavnıch lázek štítnıch: tetanie	37	34	2	-	1	-	-	-	-	-	-
66	Nemoci lázy štítné a pøídavnıch lázek štítnıch: jiné	2	-	-	-	-	-	-	-	1	1	-
67	Nemoci brzlíku	26	21	2	2	-	-	-	1	-	-	-
68	Nemoci nadledvinek (nemoc Addisonova), neoznaèené za tuberkulosní 	15	-	1	-	-	2	1	6	5	-	-
69	Jiné nemoci rheumatické, vıivové, endokrinních láz	18	2	-	-	2	3	1	5	-	5	-
												
IV 	Nemoci krve a ústrojù krvetvornıch	288	14	28	26	24	26	28	44	61	37	-
												
70a	Stavy krvácivé: purpury prvotní	19	2	5	1	3	1	-	-	4	3	-
70b	Stavy krvácivé: vrozená krvácivost	13	6	2	2	3	-	-	-	-	-	-
71a	Postupná zhoubná chudokrevnost	80	1	3	6	3	4	6	19	24	14	-
71b	Jiné chudokrevnosti	12	2	3	1	-	-	2	-	1	3	-
72a	Bìlokrevnost pravá	99	1	11	8	8	13	14	16	19	9	-
72b	Bìlokrevnost nepravá	48	1	2	6	6	6	5	5	11	6	-
73	Nemoci sleziny	12	1	2	2	-	1	1	3	1	1	-
74	Jiné nemoci krve a ústrojù krvetvornıch	5	-	-	-	1	1	-	1	1	1	-
												
V	Otravy vleklé a prudké	132	-	-	-	4	8	18	31	29	42	-
75	Alkoholismus vleklı nebo prudkı	124	-	-	-	4	6	16	28	28	42	-
												
76a	Vleklé otravy látkami anorganickımi: ivnostenské	-	-	-	-	-	-	-	-	-	-	-
76b	Vleklé otravy látkami anorganickımi: jiné	2	-	-	-	-	-	1	1	-	-	-
												
77a	Vleklé otravy látkami organickımi: ivnostenské	6	-	-	-	-	2	1	2	1	-	-
77b	Vleklé otravy látkami organickımi: jiné	-	-	-	-	-	-	-	-	-	-	-
												
DU		182	0	0	0	12	23	21	37	42	47	0
												
VI	Nemoci soustavy nervové a èidel	6968	1165	198	135	156	215	362	639	1193	2905	-
												
78a	Zánìt mozku: hlíza mozková	29	-	3	8	2	3	3	4	5	1	-
78b	Zánìt mozku: jiné zánìty mozku	71	12	11	6	6	9	9	3	8	7	-
79	Prostı zánìt plen mozkovıch	419	97	91	71	41	41	34	26	8	10	-
80	Úbyt míchy	179	-	-	-	-	5	18	41	62	53	-
81	Jiné nemoci míchy	167	1	2	6	15	10	21	31	33	48	-
82a	Krvácení mozkové 	3676	-	1	1	13	29	84	319	841	2388	-
82b	Vmetek nebo záha mozková	172	2	1	-	1	6	2	16	30	114	-
82c	Jednostranná obrna tìla a pøíèiny nerozlišené	229	-	-	3	5	6	6	14	45	150	-
83	Postupná obrna povšechná	404	-	-	-	4	31	120	119	88	42	-
84a	Pøedèasná zblbìlost	11	-	-	-	3	4	1	2	1	-	-
84b	Jiné psychosy	47	-	-	-	5	13	4	7	13	5	-
85	Padoucnice	153	4	4	14	26	31	24	22	15	13	-
86	Køeèe u dìtí mladších 6 let	1087	1016	71	-	-	-	-	-	-	-	-
												
87b	Jiné nemoci soustavy nervové: neuritis	17	-	-	1	-	1	3	2	-	10	-
87c	Jiné nemoci soustavy nervové: obrna tøesavá	54	1	2	2	3	5	3	4	9	25	-
87d	Jiné nemoci soustavy nervové: sklerosa roztroušená	79	2	1	1	8	10	17	13	15	12	-
87a,e	Jiné nemoci soustavy nervové: chorea a jiné nemoci nervové	44	2	-	5	2	1	5	8	7	14	-
88	Nemoci oèní	-	-	-	-	-	-	-	-	-	-	-
89a	Zánìt ušní	124	28	11	15	20	10	8	8	13	11	-
89b	Jiné nemoci ucha a dutiny vıènìlku soscovitého	6	-	-	2	2	-	-	-	-	2	-
												
VII	Nemoci ústrojí obìhu krevního	11656	53	30	136	190	336	483	1178	2488	6762	-
90	Zánìt osrdeèníku	22	1	1	3	2	-	4	4	4	3	-
91	Prudkı zánìt nitroblány srdeèní	148	4	8	48	27	30	17	1	6	7	-
92	Vleklı zánìt nitroblány srdeèní, poèítaje v to choroby chlopenní	915	-	-	17	48	83	100	138	222	307	-
93a	Prudkı zánìt svalu srdeèního	97	8	9	8	7	10	25	8	10	12	-
93b	Vleklı zánìt svalu srdeèního a zvrhlost svalu srdeèního	3726	3	3	6	14	31	84	292	710	2583	-
93c	Nerozlišené nemoci svalu srdeèního	732	-	-	-	-	-	-	75	174	483	-
94	Nemoci tepen vìnèitıch	626	-	-	1	1	9	30	103	222	260	-
95a	Funkcionální nemoci srdce	35	1	-	1	2	-	4	3	8	16	-
95b	Jiné a nerozlišené nemoci srdeèní	2985	21	8	48	84	157	184	435	778	1270	-
96	Vıdu, vyjma vıdu srdeèní	127	-	-	-	-	3	12	37	38	37	-
97	Zkornatìní tepen, vyjma nemocí tepen vìnèitıch	2017	-	-	-	1	3	11	60	275	1667	-
98a	Snì staøecká	81	-	-	-	-	-	-	-	10	71	-
98b	Jiné snìti	21	5	-	1	-	3	1	4	6	1	-
99	Jiné nemoci tepen	62	1	-	1	-	6	5	13	12	24	-
100	Nemoci il: mìstky, mìstky koneèníkové, zánìt il atd.	39	-	-	2	3	1	2	4	10	17	-
101	Nemoci soustavy mízní, zánìt mízních cév atd.	17	8	1	-	1	-	2	1	1	3	-
102	Idiopathické anomalie tlaku krevního	-	-	-	-	-	-	-	-	-	-	-
103	Jiné nemoci ústrojí obìhu krevního	6	1	-	-	-	-	2	-	2	1	-
												
