1962	Zemøelé ženy podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																							
MKN (1955)	Název	Celkem	0	1	2	3	4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85+
																								
VN	Úrazy a otravy podle vnìjší pøíèiny	2511	81	21	18	13	18	45	39	80	60	48	60	88	85	85	136	150	195	213	236	294	302	244
																								
D1	Úrazy na železnicích	49	-	-	-	1	2	1	-	4	-	1	-	2	2	4	3	3	7	6	4	3	4	2
E800	Úraz na železnicích postihující železnièní zamìstnance	6	-	-	-	-	-	-	-	1	-	1	-	1	-	2	-	1	-	-	-	-	-	-
E801	Úraz na železnicích postihující cestující	5	-	-	-	-	1	-	-	-	-	-	-	1	-	1	1	-	-	1	-	-	-	-
E802	Úraz na železnicích postihující jiné osoby	38	-	-	-	1	1	1	-	3	-	-	-	-	2	1	2	2	7	5	4	3	4	2
																								
D2	Dopravní úrazy motorovými vozidly	221	1	-	2	2	6	13	10	14	13	5	9	9	7	7	20	21	23	17	15	15	7	5
E810	Dopravní úraz   pøi srážce s vlakem	5	-	-	-	1	-	-	-	-	-	1	-	-	1	-	-	2	-	-	-	-	-	-
E811	Dopravní úraz   pøi srážce s poulièní drahou	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	1	-
E812	Dopravní úraz   zpùsobený chodcùm	142	1	-	2	1	5	12	7	3	3	2	-	3	3	4	17	13	15	15	11	14	6	5
E813	Dopravní úraz   zpùsobený cyklistùm	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-	-
E814	Dopravní úraz  motocyklem pøi srážce s vozidlem nemotorovým a jinými pøedmìty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E815	Dopravní úraz motocyklem pøi srážce s motorovým vozidlem 	7	-	-	-	-	-	-	-	1	1	1	3	-	-	-	-	-	-	-	1	-	-	-
E816	Dopravní úraz pøi srážce  motorových vozidel 	5	-	-	-	-	-	-	1	-	1	-	-	1	-	-	-	-	1	-	-	1	-	-
E817	Dopravní úraz  posádky motorového vozidla pøi srážce s chodcem, cyklistou	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
