1945	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku												
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75 a více	Nezjiš- tìno
													
	CELKEM ZEMØELİCH EN	56513	7758	1354	1019	2488	2251	3548	4812	6991	11660	14446	186
													
I	Nemoci nakalivé a cizopasné	6873	540	523	286	1113	923	910	761	774	746	283	14
1	Tyf bøišní	442	1	14	28	115	92	72	60	38	15	4	3
2	Paratyf	18	-	1	1	3	1	5	2	1	2	2	-
3	Mor	-	-	-	-	-	-	-	-	-	-	-	-
4	Cholera	-	-	-	-	-	-	-	-	-	-	-	-
5	Horeèka vlnivá	-	-	-	-	-	-	-	-	-	-	-	-
6	Epidemickı zánìt plen mozkovıch a míšních	25	8	3	4	3	2	-	3	1	-	1	-
7	Uhlák	1	-	-	-	-	-	1	-	-	-	-	-
8	Spála	66	5	32	17	4	3	2	2	-	-	-	1
9	Kašel zádušnı	121	92	28	-	-	1	-	-	-	-	-	-
10	Záškrt	476	78	234	49	56	27	7	16	5	2	2	-
11	Rùe	167	30	2	-	9	3	12	13	29	39	30	-
12	Ztrnutí (tetanus)	87	19	1	10	6	7	10	9	7	12	6	-
13	Tuberkulosa ústrojí dıchacího	3936	25	63	79	803	703	680	495	494	466	123	5
14a	Tuberkulosa plen a ústøední soustavy nervové: plen mozkovıch	209	18	66	51	37	16	7	5	2	4	1	2
14b	Tuberkulosa plen a ústøední soustavy nervové: jinıch míst	3	-	-	-	-	-	1	1	1	-	-	-
15a	Tuberkulosa støev a pobøišnice: støev	22	-	-	3	3	4	3	3	1	4	1	-
15b	Tuberkulosa støev a pobøišnice: jinıch míst	33	1	1	3	9	5	4	4	4	2	-	-
16	Tuberkulosa páteøe	74	-	1	3	5	4	9	7	20	20	5	-
17	Tuberkulosa kostí a kloubù (vyjma páteøe)	135	1	-	2	5	5	6	7	37	46	26	-
18	Tuberkulosa kùe a podkoního vaziva	27	-	-	1	5	-	1	3	3	11	3	-
19	Tuberkulosa soustavy mízní	12	1	1	1	-	-	1	-	2	6	-	-
20	Tuberkulosa ústrojí moèového a pohlavního	6	-	-	-	1	-	2	1	1	1	-	-
21a	Addisonova nemoc tuberkulosního pùvodu	2	1	-	-	-	-	-	-	1	-	-	-
21b	Addisonova nemoc tuberkulosního pùvodu ostatních orgánù	5	-	-	-	-	-	-	2	1	1	1	-
22	Tuberkulosa miliární	63	3	10	12	16	4	3	6	4	4	1	-
24a	Otrava krve	249	115	12	5	16	10	16	15	26	21	12	1
24b	Snì plynová	1	-	-	-	-	-	-	-	1	-	-	-
25	Kapavka	-	-	-	-	-	-	-	-	-	-	-	-
26	Jiné nemoci zpùsobené mikroby (vyjma úplavici)	-	-	-	-	-	-	-	-	-	-	-	-
27	Úplavice	73	5	6	1	1	-	10	9	9	20	12	-
28	Støídavka (malarie)	2	-	-	-	-	1	-	1	-	-	-	-
29	Jiné nemoci zpùsobené prvoky cizopasnımi (vyjma spirochaetami)	-	-	-	-	-	-	-	-	-	-	-	-
30a	Pøíjice: úbyt míchy (tabes dorsalis)	52	-	-	-	-	2	9	12	12	13	4	-
30b	Pøíjice: postupná obrna povšechná (progresivní paralysa)	61	-	-	1	1	4	12	20	17	5	1	-
30c	Pøíjice: vıdu srdeènice (aneurysma aorty)	47	-	-	1	-	-	3	5	17	13	8	-
30d	Pøíjice: pøíjice vrozená	16	16	-	-	-	-	-	-	-	-	-	-
30	Pøíjice: jiné druhy pøíjice	76	-	-	-	4	4	8	29	17	12	2	-
31	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-	-	-
32a	Infekèní loutenka	3	-	-	-	-	-	1	1	-	-	1	-
32b	Ostatní nemoci zpùsobené spirochaetami	-	-	-	-	-	-	-	-	-	-	-	-
33a	Chøipka neboli influenza s onemocnìním dıchydel	89	51	3	-	1	2	1	1	4	9	16	1
33b	Chøipka neboli influenza bez údaje takového onemocnìní	77	39	2	1	3	1	3	2	3	4	18	1
34	Neštovice	-	-	-	-	-	-	-	-	-	-	-	-
35	Spalnièky	75	30	39	6	-	-	-	-	-	-	-	-
36	Prudkı zánìt šedé hmoty míšní nebo mozkové	22	1	2	7	2	4	3	2	1	-	-	-
37a	Zánìt mozku epidemickı (lethargickı): prudkı	1	-	1	-	-	-	-	-	-	-	-	-
37b	Zánìt mozku epidemickı (lethargickı): následky epidemického zánìtu mozku	16	-	-	-	-	2	4	1	3	4	2	-
37c	Zánìt mozku epidemickı (lethargickı): zánìt mozku epidemickı bez blišího oznaèení	12	-	1	-	-	3	4	4	-	-	-	-
38a	Jiné nemoci pøipisované virùm: lutá zimnice	-	-	-	-	-	-	-	-	-	-	-	-
