1984	Zemøelí muži podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																							
MKN (1976)	Název	Celkem	0	1	2	3	4	5-9	10-14	15-19	20-24	25-29	30-34	35-39	40-44	45-49	50-54	55-59	60-64	65-69	70-74	75-79	80-84	85+
																								
VN	Vnìjší pøíèiny poranìní a otrav	4977	84	19	14	15	16	65	47	196	239	282	361	372	292	281	333	337	364	232	424	455	340	209
																								
D1	Úrazy na železnicích	123	-	-	-	-	-	1	1	8	17	12	10	12	6	8	9	10	7	5	6	8	3	-
E800	Srážka se železnièními vozidly	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-
E801	Náraz na jiný pøedmìt	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E802	Vykolejení bez pøedchozí srážky nebo nárazu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E803	Výbuch, oheò nebo popálení	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
E804	Pád ve vlaku nebo z vlaku	3	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	1	-	-	-	-	-
E805	Zasažení železnièním vozidlem	110	-	-	-	-	-	1	1	7	14	12	8	10	5	8	9	9	6	4	5	8	3	-
E806	Jiný blíže popsaný úraz  na železnici	4	-	-	-	-	-	-	-	-	1	-	1	-	1	-	-	-	-	-	1	-	-	-
E807	Železnièní úraz NS	4	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	-	1	-	-	-	-
																								
D2	Provozní úrazy motorovými vozidly	710	2	1	2	4	3	23	13	47	74	56	60	61	41	44	39	45	49	24	40	40	32	10
E810	Srážka motorového vozidla s vlakem	3	-	-	1	-	-	-	-	-	1	-	-	-	-	-	-	-	1	-	-	-	-	-
E811	Srážka motorového vozidla s jiným motorovým vozidlem pøi návratu do jízdní dráhy	1	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E812	Jiná srážka motorového vozidla s jiným motorovým vozidel	53	-	-	-	-	-	-	1	4	5	8	6	4	4	5	2	3	4	3	1	2	1	-
E813	Srážka motorového vozidla s jiným vozidlem	57	1	-	-	-	-	2	-	4	1	6	6	3	5	4	5	5	5	2	3	4	1	-
E814	Srážka motorového vozidla s chodcem	179	-	-	-	3	1	13	8	4	5	5	12	9	8	7	10	11	13	10	19	17	16	8
E815	Jiný náraz motorového vozidla na pøedmìt na silnici	34	-	-	-	-	-	1	-	3	11	4	3	4	-	4	1	1	2	-	-	-	-	-
E816	Ztráta vlády nad motorovým vozidlem na silnici, beze srážky	57	-	1	1	-	-	-	-	3	9	5	5	11	7	4	5	2	2	1	-	-	1	-
E817	Úraz pøi nastupování nebo vystupování, bez srážky	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-
E818	Jiný provozní úraz motorovým vozidlem bez srážky	4	-	-	-	-	-	-	-	-	1	-	-	1	1	-	-	-	-	-	-	-	1	-
E819	Jiný provozní úraz motorovým vozidlem, bez srážky	320	1	-	-	1	2	7	4	29	41	28	28	29	16	19	16	22	22	8	16	17	12	2
																								
D3	Neprovozní úrazy motorovými vozidly	18	-	-	-	-	-	1	1	1	4	-	2	1	1	3	-	-	2	2	-	-	-	-
E820	Neprovozní úraz motorovým vozidlem pro jizdu na snìhu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E821	Neprovozní úraz jiným mimosilnièním motorovým vozidlem 	8	-	-	-	-	-	1	1	1	3	-	1	1	-	-	-	-	-	-	-	-	-	-
E822	Neprovozní úraz jiným motorovým vozidlem pøi srážce s pohybujícím se pøedmìtem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E823	Neprovozní úraz  jiným motorovým vozidlem pøi nárazu na nepohybující se pøedmìt	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
